phrase,category,d_speeches,r_speeches,total,percent_of_d_speeches,percent_of_r_speeches,chi2,pval,position,index,x,y,vy,vx,sourceX,sourceY,moveX,moveY,correctedY
state income,economy/fiscal issues,0,7,7,0,25.93,5.962962963,0.014609469,25.93,14,654.6211570295526,-0.4601763633387907,8.734476538054984e-7,-0.000011729482833871256,659.7812237054075,0.4293427213943367,654.6211570295526,-0.4601763633387907,-0.4601763633387907
pre existing conditions,health care,5,0,5,21.74,0,5.869565217,0.015404856,-21.74,15,254.93228116703585,530.2826551917457,0.00004231835968959534,-1.5903997114907838e-7,243.8298457335432,6.412647197743438,254.93228116703585,530.2826551917457,10.282655191745675
reproductive health,health care,5,0,5,21.74,0,5.869565217,0.015404856,-21.74,16,254.0013614407517,511.17463399806786,0.000023503717768213895,0.000013059880583401886,248.57474676389046,-14.022792027687027,254.0013614407517,511.17463399806786,-8.825366001932139
educators deserve,education,5,0,5,21.74,0,5.869565217,0.015404856,-21.74,17,255.74479266195289,389.88241709238815,0.000018283637146613655,2.2088026416010778e-16,248.67060235422534,2.905321888901381,255.74479266195289,389.88241709238815,-0.11758290761184753
energy future,energy/environment,5,0,5,21.74,0,5.869565217,0.015404856,-21.74,18,255.74479266195286,129.95999656292116,0.000006220362661733742,2.650563169921293e-16,246.2042240490401,-2.559408742701891,255.74479266195286,129.95999656292116,-0.04000343707883758
economy works,economy/fiscal issues,5,0,5,21.74,0,5.869565217,0.015404856,-21.74,19,255.41025273670735,-5.1612597812989085,-3.0411024059310254e-7,6.245622508754822e-15,242.69300043032837,-7.918507272740538,255.41025273670735,-5.1612597812989085,-5.1612597812989085
existing conditions,health care,5,0,5,21.74,0,5.869565217,0.015404856,-21.74,20,255.27556576294,517.0370793287493,0.00004211956747076535,0.0000017662018394557464,248.58521840289035,-8.051050807398289,255.27556576294,517.0370793287493,-2.9629206712506857
cost health,health care,5,0,5,21.74,0,5.869565217,0.015404856,-21.74,21,251.92872828196573,522.0176299280395,0.000005290672222365406,-0.00002795104085204546,251.87586862724856,-3.1513500525398883,251.92872828196573,522.0176299280395,2.0176299280394687
child care,education,9,2,11,39.13,7.41,5.681305812,0.017146602,-31.720000000000002,22,172.30794955092668,389.882466333179,0.00001827598041511431,1.7670421132808626e-16,166.28018239895707,2.822900777385464,172.30794955092668,389.882466333179,-0.11753366682097521
expand medicaid,health care,7,1,8,30.43,3.7,5.546698873,0.018515575,-26.73,23,214.60627436561066,514.5327529093349,0.000024850403034893373,3.3587709436649903e-13,218.1728843209649,-12.562651772045827,214.60627436561066,514.5327529093349,-5.467247090665069
climate,energy/environment,15,6,21,65.22,22.22,5.46652864,0.019384091,-43,24,78.38868859255577,129.9606781937336,0.000006114382293012024,2.20871498174402e-15,78.38868859255577,3.262762753391488e-14,78.38868859255577,129.9606781937336,-0.03932180626640047
law enforcement,crime/justice,5,17,22,21.74,62.96,4.796955058,0.028510082,41.22,25,782.1158991018528,253.52135626570126,0.000012228762932802783,1.1133798764277964e-15,780.8939072864696,-6.282255646114182,782.1158991018528,253.52135626570126,-6.478643734298743
enforcement,crime/justice,5,17,22,21.74,62.96,4.796955058,0.028510082,41.22,26,782.1158991018544,266.32135626570124,0.000012228762926643453,-1.1133798764277964e-15,783.3378909172377,6.282255646114312,782.1158991018544,266.32135626570124,6.32135626570124
carbon,energy/environment,8,2,10,34.78,7.41,4.653784219,0.030985168,-27.37,27,208.675711828779,129.95666771493907,0.000006737984226438589,-1.7670421132808626e-16,210.5470312508699,-13.178929410230248,208.675711828779,129.95666771493907,-0.043332285060927234
savings account,economy/fiscal issues,0,5,5,0,18.52,4.259259259,0.03903694,18.52,28,595.1853173659018,12.8621517395745,0.0004897015314101566,-0.0001606155680464326,607.2721538792765,12.632444160028035,595.1853173659018,12.8621517395745,12.8621517395745
schools safer,crime/justice,0,5,5,0,18.52,4.259259259,0.03903694,18.52,29,595.108277530654,255.25776093973437,0.000007867719944965739,-0.00003821620816619002,592.8549570845266,-18.104867149642477,595.108277530654,255.25776093973437,-4.742239060265632
local law enforcement,crime/justice,0,5,5,0,18.52,4.259259259,0.03903694,18.52,30,593.0651619027842,249.61526096173256,0.00000973430899683101,0.000025788376665358522,601.4799634973612,-6.619139676587616,593.0651619027842,249.61526096173256,-10.38473903826744
prison population,crime/justice,0,5,5,0,18.52,4.259259259,0.03903694,18.52,31,589.2001208032414,254.2035722888511,0.000007591114525383512,-0.0000034262767272676617,602.0413999143244,14.62950657324644,589.2001208032414,254.2035722888511,-5.796427711148908
local law,crime/justice,0,5,5,0,18.52,4.259259259,0.03903694,18.52,32,592.5800325937956,271.0649864256756,0.000015172569910699941,-6.525782070358299e-7,591.0875653014662,24.33662150750271,592.5800325937956,271.0649864256756,11.064986425675613
state income tax,economy/fiscal issues,0,5,5,0,18.52,4.259259259,0.03903694,18.52,33,591.2946554936699,6.958576910694478,-0.00019744237599358204,0.0005242727381106869,580.163838628504,9.00591915646823,591.2946554936699,6.958576910694478,6.958576910694478
education workforce,education,0,5,5,0,18.52,4.259259259,0.03903694,18.52,34,592.0500906378231,396.55454039038193,0.0000360932646481636,0.0000029390725603835928,585.6421966101087,10.464325642591769,592.0500906378231,396.55454039038193,6.554540390381931
tax rates,economy/fiscal issues,0,5,5,0,18.52,4.259259259,0.03903694,18.52,35,589.4349689377146,-11.123200958596586,0.004294353645172497,0.007975714216093041,598.4325540174588,-13.952432934834778,589.4349689377146,-11.123200958596586,-11.123200958596586
fully funding,economy/fiscal issues,0,5,5,0,18.52,4.259259259,0.03903694,18.52,36,597.2845028192023,7.245011305095953,-0.0006880877006496741,0.00012216504964012768,590.7832908685688,8.067729468911935,597.2845028192023,7.245011305095953,7.245011305095953
corrections,crime/justice,2,10,12,8.7,37.04,4.156736447,0.041469233,28.34,37,674.4338811389263,259.9207920529317,0.000012316495592250967,-3.534084226561725e-16,678.5859166521617,-1.8576252026397868,674.4338811389263,259.9207920529317,-0.07920794706831202
environment,energy/environment,4,14,18,17.39,51.85,4.096976203,0.042959981,34.46,38,725.5995604815594,129.9606781328506,0.000006114381464867767,-8.652679511869256e-147,725.5995604815594,3.2627618559833426e-14,725.5995604815594,129.9606781328506,-0.039321867149396894
good jobs,economy/fiscal issues,9,3,12,39.13,11.11,4.062801932,0.043837703,-28.020000000000003,39,203.2414484999043,0.0013269782163547754,-2.0633941362790862e-7,1.7670421132808626e-16,206.9252932190353,3.1134186651828704,203.2414484999043,0.0013269782163547754,0.0013269782163547754
access health,health care,7,2,9,30.43,7.41,3.65879406,0.055773989,-23.02,40,245.0434741066311,519.8436043184159,0.00002431885680885615,-1.7670421132808626e-16,236.42539320174774,-10.452669195834094,245.0434741066311,519.8436043184159,-0.15639568158405837
early childhood,education,10,4,14,43.48,14.81,3.644352427,0.056259678,-28.669999999999995,41,198.12818673935945,385.5462861041879,0.000017443827039592578,-1.6256202113595908e-14,203.75353494719286,11.755937026499788,198.12818673935945,385.5462861041879,-4.453713895812086
school safety,crime/justice,1,7,8,4.35,25.93,3.614331723,0.057283732,21.58,42,617.9175425186321,259.9239866652093,0.000011819747103080357,-5.301126339842586e-16,631.525706262674,15.615795692507138,617.9175425186321,259.9239866652093,-0.07601333479067307
raising taxes,economy/fiscal issues,1,7,8,4.35,25.93,3.614331723,0.057283732,21.58,43,617.9238856316448,6.07065176095445,-0.000047540397420311784,0.0003466095754555941,624.5876410662515,2.1234805338770015,617.9238856316448,6.07065176095445,6.07065176095445
rainy day,economy/fiscal issues,3,11,14,13.04,40.74,3.402806533,0.065085592,27.700000000000003,44,669.0832218612653,0.0008519535621977815,-1.3247512000988216e-7,-3.534084226561725e-16,670.6603975140229,2.814639347971979,669.0832218612653,0.0008519535621977815,0.0008519535621977815
college tuition,education,5,1,6,21.74,3.7,3.36661299,0.066530403,-18.04,45,287.04887856586765,399.12340204728963,-0.000016111770780173355,0.000011473362969078855,272.3567563922551,10.131174265112755,287.04887856586765,399.12340204728963,9.12340204728963
fiscally responsible,economy/fiscal issues,5,1,6,21.74,3.7,3.36661299,0.066530403,-18.04,46,286.06046798101687,-8.27107248483055,0.000012072462442031277,-0.000025512419939358283,281.36704906731353,-23.172177448901763,286.06046798101687,-8.27107248483055,-8.27107248483055
federal funding,economy/fiscal issues,5,1,6,21.74,3.7,3.36661299,0.066530403,-18.04,47,283.92043602972547,-2.2385510706135276,0.0000014435191176072022,0.000004646362261184061,279.4105966597624,2.457848855300935,283.92043602972547,-2.2385510706135276,-2.2385510706135276
economy strong,economy/fiscal issues,5,1,6,21.74,3.7,3.36661299,0.066530403,-18.04,48,286.6603873781482,10.229723641722547,0.00002822255479572235,-0.000004792722833830032,281.68663950537155,18.529473826379213,286.6603873781482,10.229723641722547,10.229723641722547
changing economy,economy/fiscal issues,5,1,6,21.74,3.7,3.36661299,0.066530403,-18.04,49,286.7894362412149,3.832466398037567,-0.000004760721509523705,0.00002457345984498856,276.5390923575693,14.791685944751197,286.7894362412149,3.832466398037567,3.832466398037567
special education,education,5,1,6,21.74,3.7,3.36661299,0.066530403,-18.04,50,284.5737141549185,393.2218990338479,-0.000011834214385762244,-0.0000262161343475671,278.2986903798038,8.652960847602202,284.5737141549185,393.2218990338479,3.221899033847876
schools year,education,5,1,6,21.74,3.7,3.36661299,0.066530403,-18.04,51,285.98663703527143,381.80862321740926,0.0000371621049472299,0.0000012578266432511322,277.67986471447614,-10.136242450626638,285.98663703527143,381.80862321740926,-8.191376782590737
health outcomes,health care,5,1,6,21.74,3.7,3.36661299,0.066530403,-18.04,52,286.3414139670045,514.4432291292708,0.000024334655198480788,5.058323551687671e-15,282.33721579895706,-5.779834305104204,286.3414139670045,514.4432291292708,-5.556770870729224
kindergarten,education,11,5,16,47.83,18.52,3.33373591,0.067872542,-29.31,53,192.18300976414173,393.5871113561966,0.000017443827072915985,1.3562100661251851e-14,188.61116954398184,9.626201785155741,192.18300976414173,393.5871113561966,3.5871113561966013
small businesses,economy/fiscal issues,11,5,16,47.83,18.52,3.33373591,0.067872542,-29.31,54,192.4565258933691,0.0012265796538001247,-1.9072786833553824e-7,-1.3252815849606466e-16,197.401708469298,4.058881481994752,192.4565258933691,0.0012265796538001247,0.0012265796538001247
income tax,economy/fiscal issues,5,14,19,21.74,51.85,2.963725739,0.085151523,30.110000000000003,55,689.2317982037073,1.69302274921491e-36,-2.6325776642464272e-40,-6.141991574295527e-211,689.2317982037073,5.6245297845416814e-33,689.2317982037073,1.69302274921491e-36,1.69302274921491e-36
high demand,economy/fiscal issues,1,6,7,4.35,22.22,2.83436853,0.092267065,17.869999999999997,56,583.8675004080192,-8.002113290401876,-0.00046054389506949373,-0.0016025519014232906,595.4197937973116,-5.524897896613198,583.8675004080192,-8.002113290401876,-8.002113290401876
prisons,crime/justice,3,10,13,13.04,37.04,2.750030967,0.097252545,24,57,638.1497229122876,259.92157515445115,0.000012194726669184876,-3.534084226561725e-16,646.6111243733384,0.7502827694350448,638.1497229122876,259.92157515445115,-0.07842484554885232
scholarships,education,3,10,13,13.04,37.04,2.750030967,0.097252545,24,58,638.700416399127,396.91167290679,0.00001816432054211445,2.553823038459191e-14,644.3360104782939,13.166518056648698,638.700416399127,396.91167290679,6.911672906789988
public safety,crime/justice,7,17,24,30.43,62.96,2.737788513,0.098000306,32.53,59,709.4639785973629,259.9195171950354,0.000012514730519953383,-2.069677557555045e-71,709.4639785987027,-6.799999999999969,709.4639785973629,259.9195171950354,-0.08048280496461757
competitive,economy/fiscal issues,7,17,24,30.43,62.96,2.737788513,0.098000306,32.53,60,709.4639785973629,0.0018390706656433826,-2.859675901926705e-7,2.069677557555045e-71,709.4639785960231,6.800000000000032,709.4639785973629,0.0018390706656433826,0.0018390706656433826
school district,education,2,8,10,8.7,29.63,2.721417069,0.09901008,20.93,61,612.4832791897618,397.88176987677707,0.00003098193819573338,-5.2317236777839365e-15,625.4301030369949,11.150927710368332,612.4832791897618,397.88176987677707,7.881769876777071
quality education,education,2,8,10,8.7,29.63,2.721417069,0.09901008,20.93,62,612.4832791897501,389.88258661099474,0.000011958446818708225,7.538752375895919e-15,619.3324419681002,-3.1389363897188387,612.4832791897501,389.88258661099474,-0.11741338900526443
foster care,education,2,8,10,8.7,29.63,2.721417069,0.09901008,20.93,63,612.4832791897613,381.88258661099474,0.000011958446842733149,-4.6041834453771055e-15,616.2317484959308,-10.52896845422372,612.4832791897613,381.88258661099474,-8.117413389005264
access health care,health care,6,2,8,26.09,7.41,2.708534622,0.09981264,-18.68,64,281.32763233326943,519.8428312566941,0.000024439064586489827,2.650563169921293e-16,276.24609401768515,-3.478519000500514,281.32763233326943,519.8428312566941,-0.15716874330587416
good job,economy/fiscal issues,6,2,8,26.09,7.41,2.708534622,0.09981264,-18.68,65,280.0096711953313,3.322686625334614,0.000034225496159216446,-0.000003981027618093395,275.2262817598057,21.455365432130286,280.0096711953313,3.322686625334614,3.322686625334614
small business,economy/fiscal issues,10,5,15,43.48,18.52,2.579173376,0.108278194,-24.959999999999997,66,228.94410560485863,-0.5454635398334922,0.0000065035609760314035,-0.0000016433610162542937,230.90316763044206,9.276072957473692,228.94410560485863,-0.5454635398334922,-0.5454635398334922
educational,education,5,13,18,21.74,48.15,2.406154947,0.120858897,26.41,67,658.2982992547298,389.8801229316225,0.000018640369292871356,-3.534084226561725e-16,665.7191096217358,-6.331481609794329,658.2982992547298,389.8801229316225,-0.11987706837749101
unemployment rate lowest,economy/fiscal issues,4,1,5,17.39,3.7,2.32689211,0.127155523,-13.690000000000001,68,324.496808372251,-19.547424673141453,0.0011278239790405164,0.0003983166939409835,322.7796353226939,-11.903203704027945,324.496808372251,-19.547424673141453,-19.547424673141453
expanded medicaid,health care,4,1,5,17.39,3.7,2.32689211,0.127155523,-13.690000000000001,69,323.1024129976565,519.1685226087653,0.00004601151734060865,-0.0000023889729998367757,313.70364166995716,-5.499370681936215,323.1024129976565,519.1685226087653,-0.8314773912346709
air water,energy/environment,4,1,5,17.39,3.7,2.32689211,0.127155523,-13.690000000000001,70,322.8984959289947,117.50805332950146,-0.0000372267468307208,-0.0000046259166324792794,318.5245913436494,-15.524293877092152,322.8984959289947,117.50805332950146,-12.491946670498535
state funding,economy/fiscal issues,4,1,5,17.39,3.7,2.32689211,0.127155523,-13.690000000000001,71,324.40041657538893,-13.54925627529285,0.0007463896270939261,-0.00034973854863373175,305.4252746862258,-18.680618474225408,324.40041657538893,-13.54925627529285,-13.54925627529285
public lands,energy/environment,4,1,5,17.39,3.7,2.32689211,0.127155523,-13.690000000000001,72,323.60340040950325,123.46459801894962,0.000005902591092908291,0.0000056443307821997265,306.1753186608465,14.809583540875833,323.60340040950325,123.46459801894962,-6.535401981050384
year degree,education,4,1,5,17.39,3.7,2.32689211,0.127155523,-13.690000000000001,73,323.13646881118507,389.90161743514034,0.000006484521860272447,0.000009842335157850038,309.78579088454626,-1.6654071317488919,323.13646881118507,389.90161743514034,-0.09838256485966212
training programs,education,4,1,5,17.39,3.7,2.32689211,0.127155523,-13.690000000000001,74,322.855764502289,395.89438992325927,0.00001875316880806298,-0.00005516002949304395,317.88915313951424,10.72454857659093,322.855764502289,395.89438992325927,5.8943899232592685
children future,education,4,1,5,17.39,3.7,2.32689211,0.127155523,-13.690000000000001,75,322.49838753788504,383.9362484199037,-0.0000064607781405079444,-9.616958182440235e-7,317.9877459005498,-9.751524902716419,322.49838753788504,383.9362484199037,-6.063751580096323
employee,economy/fiscal issues,7,3,10,30.43,11.11,2.31884058,0.127815263,-19.32,76,276.3043664166264,-3.3204787034357452,0.000020811764738860102,0.000002287066057756154,277.22168178992604,-17.37387936771368,276.3043664166264,-3.3204787034357452,-3.3204787034357452
childhood education,education,7,3,10,30.43,11.11,2.31884058,0.127815263,-19.32,77,275.976973055609,393.8813091541083,0.000018455916792866082,-5.566899382135059e-16,272.44072802677704,3.0165512870758717,275.976973055609,393.8813091541083,3.881309154108294
early childhood education,education,7,3,10,30.43,11.11,2.31884058,0.127815263,-19.32,78,275.9769730556082,385.8813091541083,0.000018455916788813887,5.566899382135059e-16,270.2574680007373,-8.128769476551316,275.9769730556082,385.8813091541083,-4.118690845891706
wage,economy/fiscal issues,12,7,19,52.17,25.93,2.251801,0.133458996,-26.240000000000002,79,218.2315730098376,-9.420309593179232,-0.0000018233054286927912,-2.0896975010351057e-8,226.23298149021053,-7.722916734290775,218.2315730098376,-9.420309593179232,-9.420309593179232
violence,crime/justice,12,7,19,52.17,25.93,2.251801,0.133458996,-26.240000000000002,80,218.0904526953418,257.8470303888232,0.000012131858840128312,1.5757048985910738e-15,214.17938226665706,-4.060624493841697,218.0904526953418,257.8470303888232,-2.152969611176786
surplus,economy/fiscal issues,3,9,12,13.04,33.33,2.130434783,0.144399792,20.29,81,607.0999232247821,18.497813125046225,0.000658582583079934,-0.00003439582264332047,619.8716268493506,17.434004642045373,607.0999232247821,18.497813125046225,18.497813125046225
correctional,crime/justice,3,9,12,13.04,33.33,2.130434783,0.144399792,20.29,82,607.1326199120964,259.9271840081951,0.000011322574000513806,-2.696251055801766e-54,611.1728862648935,18.783028807178756,607.1326199120964,259.9271840081951,-0.07281599180487319
best brightest,education,1,5,6,4.35,18.52,2.078368223,0.149399814,14.17,83,555.7170865986126,399.0525599927969,0.00001711982804311117,2.0341158398339693e-7,561.9542882580088,21.01457332380645,555.7170865986126,399.0525599927969,9.052559992796887
budget provides,economy/fiscal issues,1,5,6,4.35,18.52,2.078368223,0.149399814,14.17,84,557.1042065232779,9.296128958138793,-0.004638993211885588,-0.013971611392261595,559.5923731842306,15.14939592049419,557.1042065232779,9.296128958138793,9.296128958138793
dignity work,economy/fiscal issues,1,5,6,4.35,18.52,2.078368223,0.149399814,14.17,85,555.7868079125376,21.561069330346555,0.0018949568943345098,0.001587983302654216,554.172815455741,12.19410146973269,555.7868079125376,21.561069330346555,21.561069330346555
job creators,economy/fiscal issues,1,5,6,4.35,18.52,2.078368223,0.149399814,14.17,86,558.152586849356,15.61325697940132,0.0019571862403630676,0.0017689771803989895,557.1311985988305,-6.049607604000474,558.152586849356,15.61325697940132,15.61325697940132
create jobs,economy/fiscal issues,8,4,12,34.78,14.81,2.063338701,0.150879274,-19.97,87,270.27189596155347,2.5249725373700613,0.000016888699708868857,-0.0000015143783677489995,269.0300414195798,-16.4620307892577,270.27189596155347,2.5249725373700613,2.5249725373700613
gun,crime/justice,8,4,12,34.78,14.81,2.063338701,0.150879274,-19.97,88,270.5427097267338,255.52342294812297,0.000011907402683400425,5.566899382132015e-16,265.27401853541227,-1.3730049461851475,270.5427097267338,255.52342294812297,-4.47657705187703
dr,health care,8,4,12,34.78,14.81,2.063338701,0.150879274,-19.97,89,270.67274974341854,521.9684009962061,0.000012322730399659803,-0.0000010160961034072632,265.43633340201376,7.543148208461755,270.67274974341854,521.9684009962061,1.9684009962061282
attorney general,crime/justice,8,4,12,34.78,14.81,2.063338701,0.150879274,-19.97,90,270.5427097267346,264.323422948123,0.000011907402694594628,-5.566899382132015e-16,268.69806750001106,16.678187579997857,270.5427097267346,264.323422948123,4.323422948122982
growing economy,economy/fiscal issues,2,7,9,8.7,25.93,2.048488102,0.152357423,17.23,91,577.1554263881205,-5.390575048206638,0.001003710436848954,-0.0011515112634645974,592.1609157630018,-11.657008233875189,577.1554263881205,-5.390575048206638,-5.390575048206638
tax cut,economy/fiscal issues,2,7,9,8.7,25.93,2.048488102,0.152357423,17.23,92,575.9228216867419,6.593011235382389,-0.0003312641839783941,-0.000021493625662829348,578.5239582717237,2.5724024855106022,575.9228216867419,6.593011235382389,6.593011235382389
healthy,health care,14,9,23,60.87,33.33,2.047258979,0.152480497,-27.54,93,207.0819097570746,521.419256901769,0.000024850402568249543,-9.996503950136792e-14,202.09532104863402,-6.77577836925669,207.0819097570746,521.419256901769,1.4192569017690175
epidemic,health care,9,5,14,39.13,18.52,1.884518058,0.169821528,-20.610000000000003,94,266.1243074138827,531.6391279419702,0.00003698590600100479,0.0000056716677713839096,259.7124157648393,14.767181366728952,266.1243074138827,531.6391279419702,11.639127941970173
drinking water,energy/environment,5,2,7,21.74,7.41,1.822176213,0.177054454,-14.329999999999998,95,317.1050948737573,139.54804439845998,0.000013845051437192529,-6.235658916932136e-7,307.8789523437244,22.12637070720813,317.1050948737573,139.54804439845998,9.548044398459979
strong economy,economy/fiscal issues,5,2,7,21.74,7.41,1.822176213,0.177054454,-14.329999999999998,96,315.90637277087956,1.8577483798094407,0.00035137545045388786,0.0008164416410718227,301.50970167431046,-14.71058736083266,315.90637277087956,1.8577483798094407,1.8577483798094407
good paying jobs,economy/fiscal issues,5,2,7,21.74,7.41,1.822176213,0.177054454,-14.329999999999998,97,311.6861245578485,-8.318531019748482,0.0014294237037027013,-0.006084163767199666,295.97785767657905,-0.2133411437778684,311.6861245578485,-8.318531019748482,-8.318531019748482
affordable health care,health care,5,2,7,21.74,7.41,1.822176213,0.177054454,-14.329999999999998,98,318.5250775142972,523.6410132788509,0.00005727096420848881,-0.0000036824391975111627,302.05630519876365,10.472481808974795,318.5250775142972,523.6410132788509,3.6410132788508918
taxpayers,economy/fiscal issues,7,15,22,30.43,55.56,1.781291173,0.181990858,25.130000000000003,99,647.4838672566867,-7.17633184756446,8.155556013120669e-7,8.078450042981077e-7,653.7788520275499,-7.527302225735085,647.4838672566867,-7.17633184756446,-7.17633184756446
savings,economy/fiscal issues,7,15,22,30.43,55.56,1.781291173,0.181990858,25.130000000000003,100,646.928096489203,5.6115967905694655,9.04118475682095e-7,0.000002845616025023047,654.3131868156493,8.558564010533717,646.928096489203,5.6115967905694655,5.6115967905694655
new jobs,economy/fiscal issues,10,6,16,43.48,22.22,1.753623188,0.185421895,-21.259999999999998,101,259.8691354680994,1.7204816253287833,-3.041102383364929e-7,-3.3178375411641034e-15,250.30784938216175,11.352757869793283,259.8691354680994,1.7204816253287833,1.7204816253287833
hospital,health care,10,6,16,43.48,22.22,1.753623188,0.185421895,-21.259999999999998,102,259.93453513989346,523.7859889297821,0.00002123697277065851,-0.000002438259505542148,256.8402087010227,3.260279541934826,259.93453513989346,523.7859889297821,3.785988929782093
teacher pay,education,4,10,14,17.39,37.04,1.711985277,0.190727993,19.65,103,602.4001539005369,395.9271824635859,0.000008411254277391924,0.000002917563889423872,610.624656524514,-3.8029813547275477,602.4001539005369,395.9271824635859,5.927182463585893
graduates,education,4,10,14,17.39,37.04,1.711985277,0.190727993,19.65,104,602.61933348342,382.2780919688724,0.000022768763221072503,5.71599263919924e-7,614.2911471164714,-19.124918355905027,602.61933348342,382.2780919688724,-7.721908031127612
financial,economy/fiscal issues,6,13,19,26.09,48.15,1.590728028,0.20722215,22.06,105,622.0569448308012,-2.3715987735207062,-0.000008033319466931759,-0.000012063254489628897,626.4989962545742,-9.710290764435305,622.0569448308012,-2.3715987735207062,-2.3715987735207062
natural resources,energy/environment,3,8,11,13.04,29.63,1.553066901,0.212683254,16.59,106,576.1991209631183,129.96416209118664,0.000005572640906280431,7.06816845312345e-16,573.1756082139716,8.126083534249696,576.1991209631183,129.96416209118664,-0.03583790881336313
build new,economy/fiscal issues,6,3,9,26.09,11.11,1.547504026,0.213504293,-14.98,107,309.52451223995325,-1.4585541795645818,-0.0013566056374827227,0.0010626801957128434,294.5853387301694,-15.346612531497076,309.52451223995325,-1.4585541795645818,-1.4585541795645818
health care costs,health care,6,3,9,26.09,11.11,1.547504026,0.213504293,-14.98,108,311.8704122907004,520.893447919221,0.00000604508797394539,0.0000064197226412290165,301.87567581224926,3.3619455603748025,311.8704122907004,520.893447919221,0.8934479192209892
graduate,education,13,9,22,56.52,33.33,1.517786561,0.21795476,-23.190000000000005,109,243.62220523600215,389.8804827983956,0.000018584411555192686,1.7670421132808626e-16,237.24648703749992,-0.2857719696543198,243.62220523600215,389.8804827983956,-0.11951720160442392
general fund,economy/fiscal issues,2,6,8,8.7,22.22,1.420289855,0.2333557,13.52,110,546.6297184907419,-5.574204907805449,0.0013725484213948991,0.001990715643378357,552.0074609975012,-1.8967475838960741,546.6297184907419,-5.574204907805449,-5.574204907805449
